富裕,富有
交织,交错
香甜,苦涩
脱落,零落
主意,主见
瞬间,霎时
未免,不免
不请自来,不速之客
慢悠悠,慢吞吞
疑难,疑问
古老,陈旧
清白,洁白
委屈,冤枉
莫名其妙,莫明其妙
凌空,腾空
娇艳,鲜艳
适应,顺应
负责,担任
训斥,怒斥
洋溢,弥漫
蛰伏,冬眠
警觉,警惕
金戈铁马,雄姿英才
意外,不测
噩耗,凶讯
神秘,奥秘
翻滚,翻腾
脸颊,面颊
磅礴,澎湃
搜寻,搜索
攀登,攀爬
惆怅,难过
陡峭,峻峭
纪念,留念
露出,显露
井然有序,有条有理
仰慕,敬慕
惩前毖后,小惩大诫
微笑,浅笑
品味,品尝
映衬,映托
引人注目,有目共睹
爱怜,怜爱
好奇,猎奇
随随便便,马马虎虎
居然,竟然
威胁,要挟
悄悄,悄然
关心,关怀
继承,承继
罕见,稀有
烈日当空,火伞高张
不仅,不只
不拘一格,形形色色
乘风破浪,披荆斩棘
重叠,堆叠
才华出众,才华盖世
唯一,独一
擎天撼地,震天撼地
昂然挺立,昂首挺立
簇拥,蜂拥
通顺,通畅
完美,完满
出乎意料,出人意料
不毛之地,穷山恶水
照耀,照射
起码,最少
积攒,积累
甘甜,甜美
公德,私德
身价百倍,声誉鹤起
红润,苍白
据说,听说
堪称,可谓
宜人,恼人
陶醉,沉醉
懈怠,懒惰
使劲,用力
铁青,乌青
浸透,渗透
借鉴,自创
真谛,真理
知趣,识相
风号浪吼,风高浪急
漫湿,浸湿
信心,决心
愚昧,愚蠢
惟恐,生怕
淡雅,浓艳
枯燥,单调
鲜艳夺目,光彩夺目
孝顺,孝敬
白皙,白净
漠然,淡然
挫折,波折
仪式,典礼
典礼,仪式
盛开,怒放
奇花异草,奇树异草
浓墨涂抹,轻笔细描
简直,几乎
光彩夺目,光芒耀眼
沙哑,嘶哑
贪心,贪婪
百年不遇,千载难逢
美誉,佳誉
暗渡陈仓,声东击西
举步维艰,寸步难行
残花败柳,半老徐娘
释怀,放心
成千盈百,成百上千
输赢,胜负
遍布,遍及
争先恐后,力争上游
弄虚作假,故弄玄虚
等闲视之,不屑一顾
投诉,赞扬
口多食寡,僧多粥少
抽象,笼统
吆喝,呼喊
银白,雪白
韵味,神韵
萌生,萌发
萌发,萌生
做工,唱工
座上客,阶下囚
坐享其成,坐收渔利
坐山观虎斗,坐观成败
坐立不安,如坐针毡
坐怀不乱,冰清玉洁
作威作福,横行霸道
作茧自缚,玩火自焚
作怪,作祟
左翼,右翼
左思右想,冥思苦想
左首,右首
左派,右派
左近,附近
左顾右盼,目不转睛
左边,右边
遵循,遵照
遵守,恪守
遵从,服从
尊敬,尊崇
醉生梦死,呕心沥血
罪状,罪行
最后,最初
最初,最后
嘴软,嘴硬
嘴巧,嘴笨
嘴快,嘴紧
嘴紧,嘴快
钻研,研究
阻挠,阻遏
阻挡,阻挠
阻碍,障碍
足迹,脚印
奏效,见效
走投无路,穷途末路
走兽,飞禽
走南闯北,深居简出
走漏,透露
走狗,走卒
纵情,尽情
纵横交错,犬牙交错
宗旨,主旨
自作自受,自食其果
自圆其说,自相矛盾
自由自在,无拘无束
自由,自在
自言自语,喃喃自语
自相残杀,同室操戈
自私,无私
自身,本身
自杀,他杀
自若,自如
自如,自若
自取灭亡,自掘坟墓
自欺欺人,掩耳盗铃
自力更生,自给自足
自愧不如,自惭形秽
自夸,自诩
自掘坟墓,自投罗网
自觉,盲目
自己,本人
自告奋勇,毛遂自荐
自高自大,自命不凡
自负,自傲
自费,公费
自大,自卑
自吹自擂,大吹大擂
自成一家,独树一帜
自卑感,优越感
自卑,自大
自暴自弃,自强不息
滋味,味道
滋生,繁殖
资料,材料
资格,资历
姿势,姿态
咨询,征询
仔细,细心
琢磨,揣摩
着落,下落
着急,焦急
浊音,清音
捉弄,玩弄
卓越,杰出
卓有成效,行之有效
准则,原则
准确,精确
准备,预备
谆谆告诫,循循善诱
追忆,追想
追问,诘问
追随,跟随
追究,追查
追赶,追逐
追查,清查
追本溯源,追根究底
状态,形态
状况,情况
壮丽,绚丽
装置,安装
装腔作势,装模作样
装配,拆卸
装聋作哑,装疯卖傻
装璜,装饰
装疯卖傻,装聋作哑
装点,点缀
装车,卸车
装备,配备
装扮,打扮
庄重,严肃
转折,转机
转义,本义
转危为安,化险为夷
转瞬,转眼
专制,民主
专用,公用
专一,专注
专任,兼任
专横跋扈,飞扬跋扈
专断,独断
专长,特长
著述,著作
祝愿,祝福
祝贺,恭喜
祝福,祝愿
贮存,储存
注意,留意
注销,登记
注释,正文
注视,凝视
注目,瞩目
助人为乐,助桀为虐
助长,滋长
瞩目,注目
嘱咐,吩咐
属实,失实
主子,奴才
主旨,宗旨
主要,次要
主谋,胁从
主角,配角
主见,主意
主观,客观
主队,客队
主动,自动
逐个,逐一
逐步,逐渐
株连,牵连
朱文,白文
皱缩,舒展
咒骂,诅咒
肘腋之患,心腹之患
周围,四周
周密,缜密
重整旗鼓,另起炉灶
重视,注重
重伤,轻伤
重任,重担
重量,分量
重复,反复
众志成城,万众一心
众叛亲离,孤家寡人
众寡悬殊,寡不敌众
种类,品种
种瓜得瓜;种豆得豆,因果报应
钟爱,宠爱
终局,结局
终点,起点
忠直,奸佞
忠言逆耳,良药苦口
忠厚,奸诈
忠诚,忠实
忠臣,奸臣
中转,直达
中医,西医
中央,地方
中午,半夜
中间,两头
中断,中缀
中餐,西餐
中靶,脱靶
置信,相信
置若罔闻,听而不闻
滞销,畅销
致力,努力
秩序,次序
桎梏,枷锁
质变,量变
治疗,医治
治理,管理
治标,治本
治本,治标
制订,制定
志愿,意愿
志同道合,情投意合
至少,至多
至多,至少
指责,责备
指挥若定,运筹帷幄
指导,指点
指标,目标
咫尺,天涯
纸醉金迷,灯红酒绿
只知其一;不知其二,一知半解
只有,只要
只管,尽管
止境,尽头
直言不讳,直抒己见
直言,婉言
直达,中转
执著,固执
知难而退,知难而进
知法犯法,明知故犯
知道,晓得
支援,援助
支线,干线
支使,指使
支流,主流
支离破碎,四分五裂
支付,领取
支出,收入
正直,耿直
正文,注释
正数,负数
正手,副手
正事,闲事
正史,野史
正色,杂色
正气凛然,大义凛然
正气,邪气
正路,邪路
正经,正派
正规,正轨
正告,警告
正点,误点
正道,邪道
正当,合理
正册,另册
正比,反比
正本,副本
整体,全体
整齐,划一
整机,零件
整顿,整理
拯救,解救
征引,援引
征询,咨询
征税,纳税
征服,降服
争脸,丢脸
争光,抹黑
争分夺秒,分秒必争
争夺,抢夺
争吵,争持
震怒,盛怒
镇压,反抗
振作,抖擞
振兴,复兴
阵线,战线
畛域,领域
甄别,鉴别
斟酌,推敲
真知灼见,一孔之见
真切,逼真
真才实学,不学无术
珍重,保重
珍视,珍爱
珍奇,珍异
珍藏,收藏
珍宝,瑰宝
侦察,侦查
哲人,愚人
遮蔽,遮盖
照管,看管
召唤,呼唤
招揽,招徕
招考,应考
招抚,弹压
招待,款待
招标,投标
障碍,妨碍
涨价,跌价
涨潮,退潮
张牙舞爪,耀武扬威
张望,观望
战争,和平
战线,阵线
战无不胜,望风披靡
战胜,打败
战火,烽火
战斗,战役
战败,战胜
崭新,簇新
展现,展示
展望,瞻望
展示,展现
瞻望,展望
沾沾自喜,自鸣得意
债务,债权
债权,债务
债户,债主
扎眼,刺眼
憎恨,憎恶
憎恶,憎恨
憎称,爱称
增员,减员
增色,减色
增强,加强
增加,添加
增产,减产
曾经,已经
怎么,怎样
责无旁贷,义不容辞
责难,非难
责骂,叱骂
责备,指摘
噪音,乐音
造谣,辟谣
造就,培养
早先,新近
早退,迟到
早期,晚期
早婚,晚婚
早晨,晚上
早场,夜场
糟践,糟蹋
遭受,蒙受
遭逢,遭遇
葬送,断送
赞助,资助
赞颂,称颂
赞美,赞誉
赞不绝口,拍案叫绝
咱们,我们
在职,退职
在押,在逃
在行,外行
在逃,在押
在劫难逃,在所难免
在朝,在野
载歌载舞,手舞足蹈
宰割,分割
灾祸,灾害
灾害,灾祸
杂色,正色
杂念,邪念
杂乱,芜杂
蕴含,包含
运行,运转
允诺,许诺
云消雾散,烟消云散
跃跃欲试,摩拳擦掌
跃然纸上,呼之欲出
悦目,顺眼
约定,商定
愿意,情愿
远因,近因
远视,近视
远亲,近亲
远景,近景
远郊,近郊
远见卓识,真知灼见
远海,近海
远程,近程
援用,引用
援引,征引
援救,拯救
原址,旧址
原则,准绳
原因,缘由
原野,田野
原籍,客籍
原告,被告
原本,本来
元凶,首恶
元旦,除夕
冤屈,委屈
冤家路窄,狭路相逢
鹬蚌相争;渔翁得利,坐山观虎斗
遇险,脱险
寓居,居住
欲望,愿望
欲速不达,一蹴而就
欲罢不能,骑虎难下
预约,预定
预想,料想
预先,事后
预料,意料
预感,预见
预报,预告
郁郁不乐,闷闷不乐
语重心长,苦口婆心
语言,言语
雨季,旱季
与众不同,异乎寻常
舆论,言论
愚人,哲人
愚弄,捉弄
愚蠢,愚笨
逾越,跨越
娱乐,文娱
诱惑,引诱
诱饵,钓饵
幼稚,老练
右翼,左翼
右首,左首
右派,左派
右面,左面
右边,左边
有余,不足
有勇无谋,智勇双全
有意识,无意识
有益,无益
有形,无形
有效,无效
有限,无限
有为,无为
有望,无望
有条有理,头头是道
有数,无数
有恃无恐,有备无患
有趣,风趣
有情,无情
有气无力,精神焕发
有名无实,名存实亡
有力,无力
有愧,无愧
有机可乘,有隙可乘
有机,无机
有害,无害
有方,无方
友情,友谊
友好,敌对
游玩,玩耍
游刃有余,熟能生巧
游览,旅游
油嘴滑舌,油腔滑调
油腔滑调,油嘴滑舌
油腻,清淡
油滑,世故
犹豫不决,优柔寡断
犹豫,犹疑
幽香,清香
幽禁,软禁
忧愁,忧虑
优良,优秀
用途,用处
用具,器具
用处,用途
勇士,懦夫
勇猛,骁勇
勇敢,英勇
永久,永世
永恒,永久
永别,永诀
庸庸碌碌,大有作为
拥护,反对
拥戴,拥护
佣人,仆人
赢得,博得
营造,营建
营养,养分
营垒,阵营
迎合,投合
迎风,顶风
鹰犬,帮凶
鹦鹉学舌,拾人牙慧
英姿飒爽,意气风发
英武,威武
应用,使用
应接不暇,目不暇接
应当,该当
应答,应对
应酬,应付
隐衷,隐私
隐射,影射
隐匿,藏匿
隐没,消失
隐蔽,荫蔽
饮鸩止渴,杀鸡取卵
饮泣吞声,忍气吞声
引诱,诱惑
引用,援用
引起,惹起
引狼入室,开门揖盗
引荐,举荐
音讯,消息
荫蔽,隐蔽
阴影,暗影
阴文,阳文
阴间,阳间
阴沟,阳沟
阴差阳错,鬼使神差
因由,来由
因循,沿袭
因为,由于
因素,要素
因势利导,顺水推舟
因而,因此
因地制宜,量体裁衣
毅然决然,当机立断
毅然,决然
意愿,志愿
意识,认识
意料,预料
逸事,逸闻
益处,好处
抑止,遏止
呓语,梦话
异样,异常
异想天开,想入非非
异口同声,众口一词
异化,同化
异端邪说,妖言惑众
议论,谈论
义不容辞,责无旁贷
以致,致使
以至,以致
以其人之道;还治其人之身,以眼还眼
以后,当前
已经,曾经
疑心,狐疑
颐养,保养
遗嘱,遗言
遗漏,脱漏
遗记,忘记
遗迹,遗址
移花接木,偷梁换柱
移动,挪动
依照,按照
依顺,违拗
依然如故,荡然无存
依然,仍然
依靠,依托
依据,根据
依旧,照旧
依附,依靠
依次,顺次
医治,治疗
衣着,穿着
衣衫褴褛,衣冠楚楚
衣锦还乡,背井离乡
衣冠禽兽,人面兽心
一致,分歧
一张一弛,以逸待劳
一意孤行,独断专行
一言半语,千言万语
一心,二心
一泻千里,一落千丈
一相情愿,两相情愿
一误再误,将错就错
一五一十,如数家珍
一网打尽,一扫而光
一视同仁,厚此薄彼
一生,终身
一扫而光,一扫而空
一如既往,自始自终
一人传虚;万人传实,道听途说
一丘之貉,半斤八两
一起,一同
一目了然,了如指掌
一模一样,如出一辙
一毛不拔,爱财如命
一马平川,一望无际
一马当先,身先士卒
一落千丈,一泻千里
一律,一概
一了百了,依然如故
一劳永逸,与日俱增
一举两得,一箭双雕
一举成名,一鸣惊人
一见倾心,一见钟情
一技之长,一无所长
一贯,一向
一干二净,一尘不染
一概而论,混为一谈
一帆风顺,好事多磨
一刀两断,快刀斩乱麻
一代风流,遗臭万年
一寸光阴一寸金,一刻千金
一蹴而就,一挥而就
一尘不染,一干二净
一唱一和,遥相呼应
一本正经,道貌岸然
一板一眼,有板有眼
一般,普通
一败涂地,一蹶不振
夜阑人静,更深人静
夜班,日班
叶落归根,饮水思源
业余,专业
野心勃勃,狼子野心
野史,正史
耀武扬威,张牙舞爪
要害,关键
杳无音信,石沉大海
遥远,悠远
遥想,遐想
遥相呼应,鞭长莫及
摇头晃脑,摇头摆尾
摇头摆尾,摇头晃脑
摇晃,摇摆
摇摆,摇晃
邀请,约请
腰缠万贯,身无分文
样式,款式
怏怏不乐,洋洋得意
养精蓄锐,休养生息
养分,营养
仰望,仰视
仰视,俯视
仰人鼻息,寄人篱下
阳文,阴文
阳间,阴间
阳沟,阴沟
阳奉阴违,两面三刀
扬长而去,拂袖而去
燕语莺声,鸟语花香
艳羡,羡慕
厌战,好战
厌弃,嫌弃
厌烦,腻烦
厌恶,讨厌
演绎,归纳
演出,上演
演变,演化
眼熟,眼生
眼生,眼熟
眼光,目光
掩饰,粉饰
掩人耳目,欲盖弥彰
掩埋,埋葬
奄奄一息,岌岌可危
研究,研讨
炎热,酷热
沿袭,因循
言行不一,言行一致
言外之意,弦外之音
言教,身教
言过其实,夸大其词
言归于好,破镜重圆
言传身教,以身作则
严阵以待,枕戈待旦
严密,紧密
严厉,严峻
严寒,酷寒
严格,严厉
严惩,宽大
延聘,聘请
延年益寿,中途夭折
延长,延伸
湮没,埋没
淹没,吞没
烟消云散,云消雾散
雅致,俗气
鸦雀无声,万籁俱寂
押解,押送
压抑,压制
压缩,紧缩
压迫,压榨
压服,说服
徇私,秉公
循序渐进,按部就班
询问,讯问
驯顺,驯良
驯服,征服
寻找,寻觅
寻衅,挑衅
寻花问柳,寻欢作乐
寻根究底,追本溯源
熏陶,陶冶
勋绩,功勋
血统,血缘
血流成河,尸横遍野
学识,学问
学生,先生
炫耀,夸耀
炫目,夺目
选集,全集
煊赫,显赫
喧扰,清净
喧嚷,吵嚷
喧闹,喧哗
宣扬,鼓吹
宣称,声称
絮叨,罗唆
叙述,叙说
序言,序文
序幕,尾声
许诺,许愿
许可,答应
徐徐,冉冉
需要,需求
虚心,谦虚
虚伪,虚假
虚夸,浮夸
虚假,虚伪
虚构,虚拟
虚浮,踏实
虚词,实词
须臾,顷刻
须要,需要
羞涩,羞怯
羞愧,惭愧
羞耻,耻辱
修养,涵养
修理,修缮
修建,建筑
修改,修正
休养,疗养
休学,复学
休憩,歇息
雄姿,英姿
雄伟,宏伟
雄浑,雄壮
胸有成竹,胸中有数
胸怀,襟怀
凶兆,吉兆
凶神恶煞,如狼似虎
凶狠,凶恶
凶恶,善良
性情,性格
性能,功能
性格,性情
幸灾乐祸,同病相怜
幸运,侥幸
幸亏,幸而
形态,形状
形势,情势
形式,方式
形迹,踪迹
行之有效,卓有成效
行尸走肉,酒囊饭袋
行将,即将
行家,里手
行贿,受贿
行动,举动
星散,云集
星罗棋布,鳞次栉比
星火燎原,水滴石穿
星辰,星斗
兴妖作怪,兴风作浪
兴许,也许
兴修,兴建
兴旺,兴隆
兴师问罪,负荆请罪
兴趣,兴味
兴起,衰亡
兴建,兴修
兴高采烈,兴致勃勃
兴风作浪,息事宁人
信用,信誉
信念,信心
信赖,信任
信件,函件
信服,服气
信奉,信仰
新鲜,新颖
新书,旧书
新手,老手
新式,旧式
新诗,古诗
新近,早先
新陈代谢,推陈出新
欣慰,欣喜
欣然,怅然
辛苦,辛劳
心直口快,守口如瓶
心悦诚服,心服口服
心愿,希望
心有余而力不足,爱莫能助
心心相印,格格不入
心疼,疼爱
心神不宁,七上八下
心情,心境
心领神会,心照不宣
心理,心思
心口如一,心直口快
心坎,心田
心惊肉跳,心有余悸
心怀,心胸
心狠手辣,心慈手软
心甘情愿,何乐不为
心腹,亲信
心烦意乱,心慌意乱
心地,心肠
心不在焉,心猿意马
谢世,在世
泄漏,走漏
谐和,和谐
胁从,主谋
邪路,正路
邪恶,罪恶
邪道,正道
协定,协议
歇息,休憩
笑容,愁容
校对,校正
效用,功效
效力,效能
效劳,效力
孝子,逆子
晓得,知道
小题大作,借题发挥
小事,大事
小人物,大人物
小人,君子
小器,大度
小年,大年
小名,大名
小节,大节
小家庭,大家庭
小户,大户
小孩儿,大人
小道,大道
销声匿迹,偃旗息鼓
销假,请假
消息,音讯
消失,消逝
消散,散失
消融,融化
消溶,溶化
消耗,耗费
消除,消弭
消沉,低沉
骁勇,勇猛
削弱,减弱
削减,增添
项庄舞剑;意在沛公,醉翁之意不在酒
向阳,朝阳
向导,导游
响应,呼应
响亮,嘹亮
响彻云霄,响遏行云
享受,享用
享乐,吃苦
享福,受罪
详情,概况
相信,置信
相同,相反
相貌,容颜
相互,互相
相干,相关
相辅相成,相反相成
相对,绝对
乡亲,同乡
陷入,堕入
限度,限制
现在,如今
现象,景象
现实,理想
现身说法,言传身教
现代,古代
险恶,险峻
显著,明显
显亲扬名,光宗耀祖
显明,鲜明
显而易见,不言而喻
嫌弃,厌弃
咸水,淡水
闲暇,空闲
闲事,正事
闲聊,闲谈
鲜艳,艳丽
先兆,前兆
先天,后天
先人,祖先
先发制人,先下手为强
夏季,冬季
吓唬,恐吓
下属,上司
下限,上限
下弦,上弦
下台,上台
下品,上品
下面,上面
下马,上马
下里巴人,阳春白雪
下来,上去
下级,上级
下风,上风
下等,上等
下车伊始,新来乍到
下层,上层
下笔成章,出口成章
下班,上班
狭窄,狭隘
狭义,广义
狭路相逢,冤家路窄
狭隘,狭窄
瞎话,实话
细小,粗大
细微,纤细
细粮,粗粮
细活,粗活
细布,粗布
系统,零碎
喜闻乐见,脍炙人口
喜事,丧事
喜色,忧色
喜气,怒气
喜联,挽联
喜剧,悲剧
喜好,爱好
喜报,捷报
喜爱,喜欢
洗涤,洗濯
习用,惯用
习俗,风俗
习惯,习气
嬉笑,恼怒
熙熙攘攘,冷冷清清
稀稀拉拉,密密麻麻
稀释,浓缩
稀奇,稀罕
惜墨如金,字斟句酌
息息相关,毫不相关
息怒,动怒
希图,企图
希求,企求
吸取,汲取
西医,中医
西南,东北
西方,东方
西餐,中餐
西北,东南
夕阳,旭日
误入歧途,迷途知返
误解,曲解
误会,误解
物证,人证
物归原主,完璧归赵
务实,务虚
舞弊,作弊
侮辱,凌辱
武官,文官
五体投地,心悦诚服
五湖四海,四面八方
五彩缤纷,五光十色
芜杂,杂乱
毋庸,无须
无足轻重,举足轻重
无中生有,惹是生非
无缘无故,事出有因
无余,有余
无忧无虑,牵肠挂肚
无意识,有意识
无意,有意
无益,有益
无形,有形
无心,无意
无效,有效
无限,有限
无暇,得空
无隙可乘,有机可乘
无为,有为
无望,有望
无所畏惧,临危不惧
无所适从,莫衷一是
无所不至,无微不至
无所不知,一无所知
无所不为,无恶不作
无所不通,一窍不通
无所不包,包罗万象
无数,有数
无穷,无量
无牵无挂,无忧无虑
无能,能干
无名英雄,无名小卒
无利,有利
无力,有力
无理,在理
无可奈何,迫不得已
无可非议,无可厚非
无可比拟,无与伦比
无拘无束,自由自在
无价之宝,价值连城
无济于事,杯水车薪
无际,无边
无害,有害
无关,有关
无功受禄,按劳分配
无妨,不妨
无方,有方
诬陷,诬害
诬蔑,污蔑
屋宇,房屋
污浊,纯净
污染,净化
乌七八糟,乱七八糟
乌黑,漆黑
我行我素,言听计从
问心有愧,问心无愧
问心无愧,问心有愧
问题,成绩
问难,答辩
问寒问暖,问长问短
问长问短,问寒问暖
稳固,稳定
稳定,波动
稳当,稳妥
闻名,出名
纹丝不动,文风不动
文质彬彬,温文尔雅
文治,武功
文言,白话
文科,理科
文化,文明
文过饰非,讳疾忌医
温煦,和煦
温习,复习
温顺,温柔
温柔,温顺
温暖,暖和
温和,平和
慰问,慰劳
畏缩不前,勇往直前
味道,滋味
位置,地位
未曾,不曾
未遂,得逞
未然,已然
未来,将来
未卜先知,料事如神
娓娓而谈,侃侃而谈
娓娓动听,绘声绘色
委曲求全,逆来顺受
尾声,序幕
伪装,假装
伟人,巨人
惟妙惟肖,活灵活现
唯心主义,唯物主义
唯物主义,唯心主义
唯命是从,百依百顺
唯利是图,利欲熏心
违心,愿意
违反,违背
违法,守法
违背,违犯
围剿,围歼
为民除害,为虎作伥
为虎作伥,助纣为虐
巍峨,高耸
微小,巨大
微妙,奇妙
微风,和风
微不足道,微乎其微
威望,声威
威风凛凛,气势汹汹
威逼,威胁
危险,风险
危急,危殆
望眼欲穿,望穿秋水
望梅止渴,画饼充饥
望而生畏,望而却步
望而却步,望而生畏
望穿秋水,望眼欲穿
旺季,淡季
忘性,记性
忘记,遗忘
妄自菲薄,妄自尊大
枉然,徒然
往年,今年
往返,往复
网罗,收罗
王道,霸道
万紫千红,姹紫嫣红
万众一心,众志成城
万死不辞,在所不辞
万古长存,万古长青
惋惜,可惜
婉转,委婉
婉言,直言
晚霞,朝霞
晚上,早晨
晚期,早期
晚年,暮年
晚婚,早婚
晚点,正点
挽救,援救
玩耍,游玩
完整,完好
完美无缺,白璧无瑕
完满,完美
完结,结束
完好,残缺
完工,竣工
